,Ella_Sri_Lanka
2020-07-05,23.0
2020-07-12,11.0
2020-07-19,14.0
2020-07-26,23.0
2020-08-02,18.0
2020-08-09,24.0
2020-08-16,15.0
2020-08-23,20.0
2020-08-30,22.0
2020-09-06,20.0
2020-09-13,17.0
2020-09-20,12.0
2020-09-27,13.0
2020-10-04,8.0
2020-10-11,7.0
2020-10-18,6.0
2020-10-25,0.0
2020-11-01,0.0
2020-11-08,5.0
2020-11-15,0.0
2020-11-22,0.0
2020-11-29,6.0
2020-12-06,6.0
2020-12-13,7.0
2020-12-20,13.0
2020-12-27,8.0
2021-01-03,9.0
2021-01-10,9.0
2021-01-17,8.0
2021-01-24,12.0
2021-01-31,13.0
2021-02-07,11.0
2021-02-14,9.0
2021-02-21,17.0
2021-02-28,14.0
2021-03-07,9.0
2021-03-14,15.0
2021-03-21,17.0
2021-03-28,16.0
2021-04-04,19.0
2021-04-11,31.0
2021-04-18,12.0
2021-04-25,7.0
2021-05-02,6.0
2021-05-09,0.0
2021-05-16,0.0
2021-05-23,0.0
2021-05-30,0.0
2021-06-06,0.0
2021-06-13,0.0
2021-06-20,0.0
2021-06-27,0.0
2021-07-04,0.0
2021-07-11,0.0
2021-07-18,0.0
2021-07-25,6.0
2021-08-01,0.0
2021-08-08,0.0
2021-08-15,0.0
2021-08-22,0.0
2021-08-29,10.0
2021-09-05,0.0
2021-09-12,0.0
2021-09-19,7.0
2021-09-26,0.0
2021-10-03,6.0
2021-10-10,12.0
2021-10-17,13.0
2021-10-24,9.0
2021-10-31,12.0
2021-11-07,10.0
2021-11-14,14.0
2021-11-21,11.0
2021-11-28,7.0
2021-12-05,16.0
2021-12-12,26.0
2021-12-19,26.0
2021-12-26,29.0
2022-01-02,38.0
2022-01-09,32.0
2022-01-16,30.0
2022-01-23,29.0
2022-01-30,32.0
2022-02-06,37.0
2022-02-13,35.0
2022-02-20,34.0
2022-02-27,30.0
2022-03-06,36.0
2022-03-13,35.0
2022-03-20,37.0
2022-03-27,26.0
2022-04-03,25.0
2022-04-10,34.0
2022-04-17,26.0
2022-04-24,19.0
2022-05-01,20.0
2022-05-08,9.0
2022-05-15,11.0
2022-05-22,11.0
2022-05-29,13.0
2022-06-05,14.0
2022-06-12,12.0
2022-06-19,11.0
2022-06-26,9.0
2022-07-03,10.0
2022-07-10,13.0
2022-07-17,13.0
2022-07-24,15.0
2022-07-31,15.0
2022-08-07,22.0
2022-08-14,23.0
2022-08-21,25.0
2022-08-28,15.0
2022-09-04,18.0
2022-09-11,16.0
2022-09-18,15.0
2022-09-25,14.0
2022-10-02,15.0
2022-10-09,19.0
2022-10-16,12.0
2022-10-23,15.0
2022-10-30,13.0
2022-11-06,16.0
2022-11-13,13.0
2022-11-20,15.0
2022-11-27,19.0
2022-12-04,17.0
2022-12-11,19.0
2022-12-18,21.0
2022-12-25,22.0
2023-01-01,25.0
2023-01-08,21.0
2023-01-15,24.0
2023-01-22,25.0
2023-01-29,27.0
2023-02-05,30.0
2023-02-12,26.0
2023-02-19,25.0
2023-02-26,24.0
2023-03-05,31.0
2023-03-12,25.0
2023-03-19,26.0
2023-03-26,23.0
2023-04-02,27.0
2023-04-09,27.0
2023-04-16,28.0
2023-04-23,22.0
2023-04-30,21.0
2023-05-07,21.0
2023-05-14,18.0
2023-05-21,19.0
2023-05-28,19.0
2023-06-04,17.0
2023-06-11,23.0
2023-06-18,22.0
2023-06-25,27.0
2023-07-02,28.0
2023-07-09,28.0
2023-07-16,30.0
2023-07-23,34.0
2023-07-30,33.0
2023-08-06,44.0
2023-08-13,34.0
2023-08-20,37.0
2023-08-27,30.0
2023-09-03,23.0
2023-09-10,26.0
2023-09-17,29.0
2023-09-24,27.0
2023-10-01,20.0
2023-10-08,20.0
2023-10-15,20.0
2023-10-22,22.0
2023-10-29,19.0
2023-11-05,27.0
2023-11-12,30.0
2023-11-19,26.0
2023-11-26,27.0
2023-12-03,33.0
2023-12-10,32.0
2023-12-17,32.0
2023-12-24,54.0
2023-12-31,43.0
2024-01-07,47.0
2024-01-07,
2024-01-14,
2024-01-21,
2024-01-28,
2024-02-04,
2024-02-11,
2024-02-18,
2024-02-25,
2024-03-03,
2024-03-10,
2024-03-17,
2024-03-24,
2024-03-31,
2024-04-07,
2024-04-14,
2024-04-21,
2024-04-28,
2024-05-05,
2024-05-12,
2024-05-19,
2024-05-26,
2024-06-02,
2024-06-09,
2024-06-16,
2024-06-23,
2024-06-30,
2024-07-07,
2024-07-14,
2024-07-21,
2024-07-28,
2024-08-04,
2024-08-11,
2024-08-18,
2024-08-25,
2024-09-01,
2024-09-08,
2024-09-15,
2024-09-22,
2024-09-29,
2024-10-06,
2024-10-13,
2024-10-20,
2024-10-27,
2024-11-03,
2024-11-10,
2024-11-17,
2024-11-24,
2024-12-01,
2024-12-08,
2024-12-15,
2024-12-22,
2024-12-29,
2025-01-05,
2025-01-12,
2025-01-19,
2025-01-26,
2025-02-02,
2025-02-09,
2025-02-16,
2025-02-23,
2025-03-02,
2025-03-09,
2025-03-16,
2025-03-23,
2025-03-30,
2025-04-06,
2025-04-13,
2025-04-20,
2025-04-27,
2025-05-04,
2025-05-11,
2025-05-18,
2025-05-25,
2025-06-01,
2025-06-08,
2025-06-15,
2025-06-22,
2025-06-29,
2025-07-06,
2025-07-13,
2025-07-20,
2025-07-27,
2025-08-03,
2025-08-10,
2025-08-17,
2025-08-24,
2025-08-31,
2025-09-07,
2025-09-14,
2025-09-21,
2025-09-28,
2025-10-05,
2025-10-12,
2025-10-19,
2025-10-26,
2025-11-02,
2025-11-09,
2025-11-16,
2025-11-23,
2025-11-30,
2025-12-07,
