,Daraz_Sri_Lanka
2018-10-07,23.0
2018-10-14,39.0
2018-10-21,19.0
2018-10-28,33.0
2018-11-04,44.0
2018-11-11,51.0
2018-11-18,35.0
2018-11-25,32.0
2018-12-02,33.0
2018-12-09,37.0
2018-12-16,27.0
2018-12-23,32.0
2018-12-30,24.0
2019-01-06,30.0
2019-01-13,28.0
2019-01-20,30.0
2019-01-27,37.0
2019-02-03,35.0
2019-02-10,29.0
2019-02-17,33.0
2019-02-24,41.0
2019-03-03,40.0
2019-03-10,43.0
2019-03-17,42.0
2019-03-24,53.0
2019-03-31,72.0
2019-04-07,58.0
2019-04-14,40.0
2019-04-21,28.0
2019-04-28,37.0
2019-05-05,38.0
2019-05-12,38.0
2019-05-19,41.0
2019-05-26,40.0
2019-06-02,35.0
2019-06-09,33.0
2019-06-16,33.0
2019-06-23,39.0
2019-06-30,46.0
2019-07-07,42.0
2019-07-14,35.0
2019-07-21,43.0
2019-07-28,54.0
2019-08-04,50.0
2019-08-11,45.0
2019-08-18,44.0
2019-08-25,65.0
2019-09-01,46.0
2019-09-08,48.0
2019-09-15,58.0
2019-09-22,53.0
2019-09-29,51.0
2019-10-06,50.0
2019-10-13,59.0
2019-10-20,59.0
2019-10-27,61.0
2019-11-03,73.0
2019-11-10,100.0
2019-11-17,71.0
2019-11-24,90.0
2019-12-01,81.0
2019-12-08,82.0
2019-12-15,98.0
2019-12-22,70.0
2019-12-29,54.0
2020-01-05,63.0
2020-01-05,63.28888888888889
2020-01-12,79.11111111111111
2020-01-19,59.333333333333336
2020-01-26,77.13333333333334
2020-02-02,79.11111111111111
2020-02-09,63.28888888888889
2020-02-16,77.13333333333334
2020-02-23,67.24444444444444
2020-03-01,55.37777777777778
2020-03-08,73.17777777777778
2020-03-15,61.31111111111112
2020-03-22,53.400000000000006
2020-03-29,63.28888888888889
2020-04-05,43.51111111111111
2020-04-12,49.44444444444444
2020-04-19,65.26666666666667
2020-04-26,55.37777777777778
2020-05-03,61.31111111111112
2020-05-10,77.13333333333334
2020-05-17,75.15555555555557
2020-05-24,81.08888888888889
2020-05-31,90.97777777777779
2020-06-07,116.6888888888889
2020-06-14,87.02222222222223
2020-06-21,92.95555555555556
2020-06-28,114.71111111111111
2020-07-05,118.66666666666667
2020-07-12,108.77777777777779
2020-07-19,112.73333333333333
2020-07-26,100.86666666666667
2020-08-02,110.75555555555556
2020-08-09,114.71111111111111
2020-08-16,92.95555555555556
2020-08-23,106.80000000000001
2020-08-30,116.6888888888889
2020-09-06,102.84444444444445
2020-09-13,108.77777777777779
2020-09-20,118.66666666666667
2020-09-27,110.75555555555556
2020-10-04,118.66666666666667
2020-10-11,138.44444444444446
2020-10-18,94.93333333333334
2020-10-25,104.82222222222222
2020-11-01,116.6888888888889
2020-11-08,197.77777777777777
2020-11-15,144.3777777777778
2020-11-22,154.26666666666668
2020-11-29,134.48888888888888
2020-12-06,152.2888888888889
2020-12-13,152.2888888888889
2020-12-20,158.22222222222223
2020-12-27,146.35555555555555
2021-01-03,140.42222222222222
2021-01-10,142.4
2021-01-17,144.3777777777778
2021-01-24,140.42222222222222
2021-01-31,148.33333333333334
2021-02-07,160.20000000000002
2021-02-14,134.48888888888888
2021-02-21,136.46666666666667
2021-02-28,136.46666666666667
2021-03-07,112.73333333333333
2021-03-14,148.33333333333334
2021-03-21,136.46666666666667
2021-03-28,154.26666666666668
2021-04-04,142.4
2021-04-11,126.57777777777778
2021-04-18,124.60000000000001
2021-04-25,134.48888888888888
2021-05-02,142.4
2021-05-09,142.4
2021-05-16,160.20000000000002
2021-05-23,148.33333333333334
2021-05-30,160.20000000000002
2021-06-06,191.84444444444446
2021-06-13,189.86666666666667
2021-06-20,166.13333333333333
2021-06-27,170.0888888888889
2021-07-04,183.93333333333334
2021-07-11,156.24444444444444
2021-07-18,154.26666666666668
2021-07-25,170.0888888888889
2021-08-01,154.26666666666668
2021-08-08,176.02222222222224
2021-08-15,185.91111111111113
2021-08-22,162.17777777777778
2021-08-29,172.06666666666666
2021-09-05,179.9777777777778
2021-09-12,197.77777777777777
2021-09-19,185.91111111111113
2021-09-26,166.13333333333333
2021-10-03,170.0888888888889
2021-10-10,166.13333333333333
2021-10-17,140.42222222222222
2021-10-24,136.46666666666667
2021-10-31,148.33333333333334
2021-11-07,174.04444444444445
2021-11-14,170.0888888888889
2021-11-21,134.48888888888888
2021-11-28,132.51111111111112
2021-12-05,158.22222222222223
2021-12-12,172.06666666666666
2021-12-19,132.51111111111112
2021-12-26,130.53333333333333
2022-01-02,150.31111111111113
2022-01-09,142.4
2022-01-16,140.42222222222222
2022-01-23,154.26666666666668
2022-01-30,164.15555555555557
2022-02-06,166.13333333333333
2022-02-13,154.26666666666668
2022-02-20,172.06666666666666
2022-02-27,170.0888888888889
2022-03-06,148.33333333333334
2022-03-13,148.33333333333334
2022-03-20,154.26666666666668
2022-03-27,164.15555555555557
2022-04-03,156.24444444444444
2022-04-10,162.17777777777778
2022-04-17,168.11111111111111
2022-04-24,166.13333333333333
2022-05-01,152.2888888888889
2022-05-08,146.35555555555555
2022-05-15,144.3777777777778
2022-05-22,156.24444444444444
2022-05-29,174.04444444444445
2022-06-05,140.42222222222222
2022-06-12,144.3777777777778
2022-06-19,158.22222222222223
2022-06-26,160.20000000000002
2022-07-03,146.35555555555555
2022-07-10,142.4
2022-07-17,138.44444444444446
2022-07-24,142.4
2022-07-31,152.2888888888889
2022-08-07,156.24444444444444
2022-08-14,140.42222222222222
2022-08-21,142.4
2022-08-28,138.44444444444446
2022-09-04,134.48888888888888
2022-09-11,136.46666666666667
2022-09-18,140.42222222222222
2022-09-25,156.24444444444444
2022-10-02,138.44444444444446
2022-10-09,160.20000000000002
2022-10-16,130.53333333333333
2022-10-23,124.60000000000001
2022-10-30,148.33333333333334
2022-11-06,187.88888888888889
2022-11-13,162.17777777777778
2022-11-20,134.48888888888888
2022-11-27,126.57777777777778
2022-12-04,138.44444444444446
2022-12-11,144.3777777777778
2022-12-18,148.33333333333334
2022-12-25,146.35555555555555
2023-01-01,134.48888888888888
2023-01-08,132.51111111111112
2023-01-15,134.48888888888888
2023-01-22,138.44444444444446
2023-01-29,140.42222222222222
2023-02-05,142.4
2023-02-12,160.20000000000002
2023-02-19,140.42222222222222
2023-02-26,120.64444444444445
2023-03-05,126.57777777777778
2023-03-12,130.53333333333333
2023-03-19,152.2888888888889
2023-03-26,126.57777777777778
2023-04-02,150.31111111111113
2023-04-09,130.53333333333333
2023-04-16,136.46666666666667
2023-04-23,118.66666666666667
2023-04-30,130.53333333333333
2023-05-07,112.73333333333333
2023-05-14,130.53333333333333
2023-05-21,126.57777777777778
2023-05-28,118.66666666666667
2023-06-04,136.46666666666667
2023-06-11,118.66666666666667
2023-06-18,122.62222222222223
2023-06-25,120.64444444444445
2023-07-02,126.57777777777778
2023-07-09,114.71111111111111
2023-07-16,130.53333333333333
2023-07-23,132.51111111111112
2023-07-30,136.46666666666667
2023-08-06,134.48888888888888
2023-08-13,144.3777777777778
2023-08-20,138.44444444444446
2023-08-27,144.3777777777778
2023-09-03,130.53333333333333
2023-09-10,112.73333333333333
2023-09-17,126.57777777777778
2023-09-24,138.44444444444446
2023-10-01,116.6888888888889
2023-10-08,114.71111111111111
2023-10-15,112.73333333333333
2023-10-22,122.62222222222223
2023-10-29,122.62222222222223
2023-11-05,140.42222222222222
2023-11-12,144.3777777777778
2023-11-19,128.55555555555557
2023-11-26,134.48888888888888
2023-12-03,136.46666666666667
2023-12-10,160.20000000000002
2023-12-17,140.42222222222222
2023-12-24,138.44444444444446
2023-12-31,122.62222222222223
2024-01-07,122.62222222222223
2024-01-07,122.57398373983739
2024-01-14,117.79837398373984
2024-01-21,133.7170731707317
2024-01-28,122.57398373983739
2024-02-04,105.06341463414634
2024-02-11,109.83902439024389
2024-02-18,108.24715447154472
2024-02-25,111.43089430894308
2024-03-03,113.02276422764227
2024-03-10,106.65528455284553
2024-03-17,106.65528455284553
2024-03-24,125.75772357723577
2024-03-31,120.9821138211382
2024-04-07,114.61463414634146
2024-04-14,111.43089430894308
2024-04-21,111.43089430894308
2024-04-28,109.83902439024389
2024-05-05,113.02276422764227
2024-05-12,114.61463414634146
2024-05-19,93.92032520325203
2024-05-26,108.24715447154472
2024-06-02,117.79837398373984
2024-06-09,93.92032520325203
2024-06-16,103.47154471544715
2024-06-23,100.28780487804877
2024-06-30,111.43089430894308
2024-07-07,101.87967479674796
2024-07-14,97.1040650406504
2024-07-21,98.69593495934959
2024-07-28,93.92032520325203
2024-08-04,127.34959349593495
2024-08-11,127.34959349593495
2024-08-18,127.34959349593495
2024-08-25,103.47154471544715
2024-09-01,109.83902439024389
2024-09-08,109.83902439024389
2024-09-15,97.1040650406504
2024-09-22,93.92032520325203
2024-09-29,98.69593495934959
2024-10-06,100.28780487804877
2024-10-13,113.02276422764227
2024-10-20,109.83902439024389
2024-10-27,109.83902439024389
2024-11-03,114.61463414634146
2024-11-10,132.12520325203252
2024-11-17,108.24715447154472
2024-11-24,109.83902439024389
2024-12-01,114.61463414634146
2024-12-08,130.53333333333333
2024-12-15,138.49268292682927
2024-12-22,103.47154471544715
2024-12-29,98.69593495934959
2025-01-05,95.51219512195121
2025-01-12,111.43089430894308
2025-01-19,103.47154471544715
2025-01-26,74.81788617886178
2025-02-02,89.14471544715447
2025-02-09,90.73658536585366
2025-02-16,84.3691056910569
2025-02-23,74.81788617886178
2025-03-02,79.59349593495935
2025-03-09,73.2260162601626
2025-03-16,74.81788617886178
2025-03-23,78.00162601626016
2025-03-30,76.40975609756097
2025-04-06,81.18536585365854
2025-04-13,85.96097560975609
2025-04-20,78.00162601626016
2025-04-27,70.04227642276422
2025-05-04,73.2260162601626
2025-05-11,66.85853658536585
2025-05-18,65.26666666666667
2025-05-25,66.85853658536585
2025-06-01,74.81788617886178
2025-06-08,63.67479674796748
2025-06-15,63.67479674796748
2025-06-22,66.85853658536585
2025-06-29,60.4910569105691
2025-07-06,68.45040650406504
2025-07-13,68.45040650406504
2025-07-20,65.26666666666667
2025-07-27,60.4910569105691
2025-08-03,62.08292682926829
2025-08-10,66.85853658536585
2025-08-17,66.85853658536585
2025-08-24,66.85853658536585
2025-08-31,58.89918699186992
2025-09-07,50.93983739837398
2025-09-14,58.89918699186992
2025-09-21,62.08292682926829
2025-09-28,50.93983739837398
2025-10-05,57.30731707317073
2025-10-12,58.89918699186992
2025-10-19,60.4910569105691
2025-10-26,66.85853658536585
2025-11-02,74.81788617886178
2025-11-09,97.1040650406504
2025-11-16,63.67479674796748
2025-11-23,60.4910569105691
2025-11-30,78.00162601626016
2025-12-07,76.40975609756097
