date,government_jobs
2015-01-01,45
2015-02-01,58
2015-03-01,69
2015-04-01,65
2015-05-01,81
2015-06-01,89
2015-07-01,67
2015-08-01,58
2015-09-01,88
2015-10-01,100
2015-11-01,88
2015-12-01,77
2016-01-01,74
2016-02-01,68
2016-03-01,73
2016-04-01,61
2016-05-01,59
2016-06-01,73
2016-07-01,70
2016-08-01,68
2016-09-01,73
2016-10-01,65
2016-11-01,71
2016-12-01,63
2017-01-01,71
2017-02-01,63
2017-03-01,68
2017-04-01,55
2017-05-01,64
2017-06-01,70
2017-07-01,60
2017-08-01,58
2017-09-01,72
2017-10-01,71
2017-11-01,72
2017-12-01,62
2018-01-01,60
2018-02-01,67
2018-03-01,77
2018-04-01,70
2018-05-01,88
2018-06-01,86
2018-07-01,85
2018-08-01,87
2018-09-01,79
2018-10-01,68
2018-11-01,55
2018-12-01,55
2019-01-01,65
2019-02-01,70
2019-03-01,74
2019-04-01,57
2019-05-01,82
2019-06-01,79
2019-07-01,91
2019-08-01,73
2019-09-01,83
2019-10-01,47
2019-11-01,54
2019-12-01,67
2020-01-01,83
2020-02-01,78
2020-03-01,37
2020-04-01,14
2020-05-01,22
2020-06-01,34
2020-07-01,40
2020-08-01,76
2020-09-01,68
2020-10-01,43
2020-11-01,32
2020-12-01,36
2021-01-01,34
2021-02-01,35
2021-03-01,33
2021-04-01,27
2021-05-01,20
2021-06-01,17
2021-07-01,21
2021-08-01,16
2021-09-01,12
2021-10-01,14
2021-11-01,15
2021-12-01,13
2022-01-01,17
2022-02-01,16
2022-03-01,15
2022-04-01,10
2022-05-01,8
2022-06-01,10
2022-07-01,6
2022-08-01,10
2022-09-01,8
2022-10-01,9
2022-11-01,9
2022-12-01,10
2023-01-01,10
2023-02-01,9
2023-03-01,9
2023-04-01,7
2023-05-01,8
2023-06-01,9
2023-07-01,10
2023-08-01,11
2023-09-01,12
2023-10-01,10
2023-11-01,9
2023-12-01,9
2024-01-01,9
2024-02-01,9
2024-03-01,9
2024-04-01,9
2024-05-01,8
2024-06-01,10
2024-07-01,9
2024-08-01,8
2024-09-01,7
2024-10-01,7
2024-11-01,8
2024-12-01,9
2025-01-01,9
2025-02-01,10
2025-03-01,10
2025-04-01,8
2025-05-01,10
2025-06-01,10
2025-07-01,9
2025-08-01,10
2025-09-01,9
2025-10-01,10
2025-11-01,10
