date,rubber_price_Sri_Lanka
2015-01-01,0
2015-02-01,50
2015-03-01,0
2015-04-01,0
2015-05-01,0
2015-06-01,0
2015-07-01,0
2015-08-01,0
2015-09-01,0
2015-10-01,0
2015-11-01,0
2015-12-01,0
2016-01-01,0
2016-02-01,0
2016-03-01,0
2016-04-01,0
2016-05-01,0
2016-06-01,0
2016-07-01,0
2016-08-01,0
2016-09-01,0
2016-10-01,0
2016-11-01,0
2016-12-01,0
2017-01-01,32
2017-02-01,60
2017-03-01,33
2017-04-01,0
2017-05-01,0
2017-06-01,0
2017-07-01,0
2017-08-01,0
2017-09-01,0
2017-10-01,0
2017-11-01,0
2017-12-01,0
2018-01-01,0
2018-02-01,36
2018-03-01,0
2018-04-01,0
2018-05-01,0
2018-06-01,0
2018-07-01,0
2018-08-01,0
2018-09-01,0
2018-10-01,0
2018-11-01,0
2018-12-01,0
2019-01-01,0
2019-02-01,0
2019-03-01,0
2019-04-01,0
2019-05-01,0
2019-06-01,0
2019-07-01,0
2019-08-01,0
2019-09-01,48
2019-10-01,27
2019-11-01,0
2019-12-01,0
2020-01-01,0
2020-02-01,29
2020-03-01,29
2020-04-01,31
2020-05-01,37
2020-06-01,70
2020-07-01,37
2020-08-01,45
2020-09-01,48
2020-10-01,31
2020-11-01,53
2020-12-01,54
2021-01-01,58
2021-02-01,84
2021-03-01,64
2021-04-01,54
2021-05-01,54
2021-06-01,45
2021-07-01,50
2021-08-01,60
2021-09-01,64
2021-10-01,63
2021-11-01,50
2021-12-01,44
2022-01-01,87
2022-02-01,70
2022-03-01,70
2022-04-01,72
2022-05-01,57
2022-06-01,66
2022-07-01,64
2022-08-01,54
2022-09-01,83
2022-10-01,80
2022-11-01,70
2022-12-01,75
2023-01-01,37
2023-02-01,80
2023-03-01,94
2023-04-01,71
2023-05-01,82
2023-06-01,69
2023-07-01,78
2023-08-01,87
2023-09-01,84
2023-10-01,75
2023-11-01,83
2023-12-01,65
2024-01-01,81
2024-02-01,96
2024-03-01,77
2024-04-01,63
2024-05-01,69
2024-06-01,72
2024-07-01,44
2024-08-01,88
2024-09-01,100
2024-10-01,50
2024-11-01,67
2024-12-01,85
2025-01-01,74
2025-02-01,65
2025-03-01,66
2025-04-01,56
2025-05-01,63
2025-06-01,78
2025-07-01,58
2025-08-01,93
2025-09-01,87
2025-10-01,85
2025-11-01,72
