date,Gulf_jobs
2015-01-01,89
2015-02-01,77
2015-03-01,84
2015-04-01,92
2015-05-01,89
2015-06-01,86
2015-07-01,58
2015-08-01,59
2015-09-01,100
2015-10-01,54
2015-11-01,61
2015-12-01,67
2016-01-01,48
2016-02-01,72
2016-03-01,62
2016-04-01,40
2016-05-01,60
2016-06-01,65
2016-07-01,50
2016-08-01,0
2016-09-01,56
2016-10-01,42
2016-11-01,0
2016-12-01,44
2017-01-01,58
2017-02-01,36
2017-03-01,57
2017-04-01,52
2017-05-01,56
2017-06-01,37
2017-07-01,38
2017-08-01,47
2017-09-01,0
2017-10-01,44
2017-11-01,56
2017-12-01,43
2018-01-01,40
2018-02-01,0
2018-03-01,35
2018-04-01,0
2018-05-01,64
2018-06-01,44
2018-07-01,41
2018-08-01,0
2018-09-01,40
2018-10-01,31
2018-11-01,0
2018-12-01,0
2019-01-01,32
2019-02-01,0
2019-03-01,0
2019-04-01,0
2019-05-01,34
2019-06-01,32
2019-07-01,52
2019-08-01,33
2019-09-01,42
2019-10-01,0
2019-11-01,32
2019-12-01,0
2020-01-01,53
2020-02-01,36
2020-03-01,0
2020-04-01,0
2020-05-01,0
2020-06-01,0
2020-07-01,0
2020-08-01,0
2020-09-01,0
2020-10-01,0
2020-11-01,0
2020-12-01,0
2021-01-01,0
2021-02-01,0
2021-03-01,0
2021-04-01,0
2021-05-01,35
2021-06-01,0
2021-07-01,0
2021-08-01,32
2021-09-01,0
2021-10-01,0
2021-11-01,0
2021-12-01,0
2022-01-01,31
2022-02-01,29
2022-03-01,33
2022-04-01,27
2022-05-01,47
2022-06-01,69
2022-07-01,29
2022-08-01,40
2022-09-01,35
2022-10-01,35
2022-11-01,29
2022-12-01,36
2023-01-01,25
2023-02-01,43
2023-03-01,30
2023-04-01,35
2023-05-01,28
2023-06-01,19
2023-07-01,24
2023-08-01,22
2023-09-01,0
2023-10-01,0
2023-11-01,23
2023-12-01,23
2024-01-01,0
2024-02-01,0
2024-03-01,20
2024-04-01,0
2024-05-01,22
2024-06-01,0
2024-07-01,0
2024-08-01,0
2024-09-01,0
2024-10-01,0
2024-11-01,0
2024-12-01,0
2025-01-01,0
2025-02-01,0
2025-03-01,0
2025-04-01,0
2025-05-01,0
2025-06-01,0
2025-07-01,0
2025-08-01,0
2025-09-01,32
2025-10-01,0
2025-11-01,1
2025-12-01,11
