,Ella_Sri_Lanka
2018-12-30,83
2019-01-06,80
2019-01-13,78
2019-01-20,82
2019-01-27,90
2019-02-03,93
2019-02-10,78
2019-02-17,70
2019-02-24,79
2019-03-03,71
2019-03-10,71
2019-03-17,77
2019-03-24,56
2019-03-31,64
2019-04-07,74
2019-04-14,100
2019-04-21,46
2019-04-28,22
2019-05-05,13
2019-05-12,21
2019-05-19,18
2019-05-26,21
2019-06-02,19
2019-06-09,23
2019-06-16,24
2019-06-23,18
2019-06-30,33
2019-07-07,41
2019-07-14,49
2019-07-21,48
2019-07-28,51
2019-08-04,69
2019-08-11,64
2019-08-18,75
2019-08-25,54
2019-09-01,57
2019-09-08,61
2019-09-15,47
2019-09-22,41
2019-09-29,37
2019-10-06,36
2019-10-13,32
2019-10-20,31
2019-10-27,31
2019-11-03,48
2019-11-10,42
2019-11-17,40
2019-11-24,50
2019-12-01,56
2019-12-08,40
2019-12-15,71
2019-12-22,75
2019-12-29,74
2020-01-05,81
2020-01-12,73
2020-01-19,61
2020-01-26,49
2020-02-02,69
2020-02-09,69
2020-02-16,63
2020-02-23,66
2020-03-01,74
2020-03-08,63
2020-03-15,26
2020-03-22,10
2020-03-29,6
2020-04-05,10
2020-04-12,5
2020-04-19,7
2020-04-26,9
2020-05-03,10
2020-05-10,7
2020-05-17,5
2020-05-24,10
2020-05-31,10
2020-06-07,19
2020-06-14,20
2020-06-21,25
2020-06-28,34
2020-07-05,23
2020-07-12,11
2020-07-19,14
2020-07-26,23
2020-08-02,18
2020-08-09,24
2020-08-16,15
2020-08-23,20
2020-08-30,22
2020-09-06,20
2020-09-13,17
2020-09-20,12
2020-09-27,13
2020-10-04,8
2020-10-11,7
2020-10-18,6
2020-10-25,0
2020-11-01,0
2020-11-08,5
2020-11-15,0
2020-11-22,0
2020-11-29,6
2020-12-06,6
2020-12-13,7
2020-12-20,13
2020-12-27,8
2021-01-03,9
2021-01-10,9
2021-01-17,8
2021-01-24,12
2021-01-31,13
2021-02-07,11
2021-02-14,9
2021-02-21,17
2021-02-28,14
2021-03-07,9
2021-03-14,15
2021-03-21,17
2021-03-28,16
2021-04-04,19
2021-04-11,31
2021-04-18,12
2021-04-25,7
2021-05-02,6
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,6
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,10
2021-09-05,0
2021-09-12,0
2021-09-19,7
2021-09-26,0
2021-10-03,6
2021-10-10,12
2021-10-17,13
2021-10-24,9
2021-10-31,12
2021-11-07,10
2021-11-14,14
2021-11-21,11
2021-11-28,7
2021-12-05,16
2021-12-12,26
2021-12-19,26
2021-12-26,29
2022-01-02,38
2022-01-09,32
2022-01-16,30
2022-01-23,29
2022-01-30,32
2022-02-06,37
2022-02-13,35
2022-02-20,34
2022-02-27,30
2022-03-06,36
2022-03-13,35
2022-03-20,37
2022-03-27,26
2022-04-03,25
2022-04-10,34
2022-04-17,26
2022-04-24,19
2022-05-01,20
2022-05-08,9
2022-05-15,11
2022-05-22,11
2022-05-29,13
2022-06-05,14
2022-06-12,12
2022-06-19,11
2022-06-26,9
2022-07-03,10
2022-07-10,13
2022-07-17,13
2022-07-24,15
2022-07-31,15
2022-08-07,22
2022-08-14,23
2022-08-21,25
2022-08-28,15
2022-09-04,18
2022-09-11,16
2022-09-18,15
2022-09-25,14
2022-10-02,15
2022-10-09,19
2022-10-16,12
2022-10-23,15
2022-10-30,13
2022-11-06,16
2022-11-13,13
2022-11-20,15
2022-11-27,19
2022-12-04,17
2022-12-11,19
2022-12-18,21
2022-12-25,22
2023-01-01,25
2023-01-08,21
2023-01-15,24
2023-01-22,25
2023-01-29,27
2023-02-05,30
2023-02-12,26
2023-02-19,25
2023-02-26,24
2023-03-05,31
2023-03-12,25
2023-03-19,26
2023-03-26,23
2023-04-02,27
2023-04-09,27
2023-04-16,28
2023-04-23,22
2023-04-30,21
2023-05-07,21
2023-05-14,18
2023-05-21,19
2023-05-28,19
2023-06-04,17
2023-06-11,23
2023-06-18,22
2023-06-25,27
2023-07-02,28
2023-07-09,28
2023-07-16,30
2023-07-23,34
2023-07-30,33
2023-08-06,44
2023-08-13,34
2023-08-20,37
2023-08-27,30
2023-09-03,23
2023-09-10,26
2023-09-17,29
2023-09-24,27
2023-10-01,20
2023-10-08,20
2023-10-15,20
2023-10-22,22
2023-10-29,19
2023-11-05,27
2023-11-12,30
2023-11-19,26
2023-11-26,27
2023-12-03,33
2023-12-10,32
2023-12-17,32
2023-12-24,54
2023-12-31,43
2024-01-07,47
