,Bentota_hotel,CV_format,Daraz_Sri_Lanka
2017-05-21,23.0,51.0,0.0
2017-05-28,20.0,50.0,0.0
2017-06-04,38.0,42.0,9.0
2017-06-11,29.0,45.0,0.0
2017-06-18,28.0,46.0,0.0
2017-06-25,26.0,38.0,0.0
2017-07-02,23.0,51.0,0.0
2017-07-09,31.0,54.0,0.0
2017-07-16,24.0,42.0,0.0
2017-07-23,24.0,49.0,9.0
2017-07-30,44.0,55.0,0.0
2017-08-06,51.0,45.0,0.0
2017-08-13,54.0,50.0,0.0
2017-08-20,51.0,57.0,0.0
2017-08-27,46.0,50.0,8.0
2017-09-03,48.0,67.0,11.0
2017-09-10,39.0,77.0,9.0
2017-09-17,34.0,71.0,0.0
2017-09-24,0.0,60.0,8.0
2017-10-01,44.0,61.0,0.0
2017-10-08,41.0,55.0,0.0
2017-10-15,37.0,60.0,9.0
2017-10-22,32.0,58.0,12.0
2017-10-29,44.0,55.0,0.0
2017-11-05,29.0,66.0,15.0
2017-11-12,34.0,69.0,0.0
2017-11-19,24.0,61.0,27.0
2017-11-26,34.0,58.0,25.0
2017-12-03,30.0,61.0,9.0
2017-12-10,38.0,52.0,23.0
2017-12-17,54.0,48.0,13.0
2017-12-24,49.0,31.0,0.0
2017-12-31,47.0,59.0,9.0
2018-01-07,44.0,79.0,13.0
2018-01-14,43.0,64.0,13.0
2018-01-21,34.0,73.0,0.0
2018-01-28,35.0,64.0,20.0
2018-02-04,35.0,46.0,8.0
2018-02-11,44.0,57.0,9.0
2018-02-18,32.0,56.0,14.0
2018-02-25,43.0,51.0,16.0
2018-03-04,34.0,53.0,12.0
2018-03-11,43.0,51.0,13.0
2018-03-18,41.0,48.0,16.0
2018-03-25,33.0,44.0,9.0
2018-04-01,50.0,47.0,16.0
2018-04-08,60.0,35.0,13.0
2018-04-15,60.0,35.0,12.0
2018-04-22,34.0,52.0,15.0
2018-04-29,41.0,49.0,12.0
2018-05-06,44.0,50.0,14.0
2018-05-13,42.0,60.0,13.0
2018-05-20,23.0,63.0,11.0
2018-05-27,33.0,49.0,19.0
2018-06-03,26.0,56.0,0.0
2018-06-10,31.0,63.0,21.0
2018-06-17,24.0,59.0,14.0
2018-06-24,27.0,38.0,15.0
2018-07-01,29.0,69.0,17.0
2018-07-08,32.0,65.0,14.0
2018-07-15,49.0,62.0,12.0
2018-07-22,38.0,49.0,21.0
2018-07-29,36.0,51.0,16.0
2018-08-05,46.0,48.0,20.0
2018-08-12,43.0,52.0,20.0
2018-08-19,53.0,46.0,15.0
2018-08-26,29.0,72.0,19.0
2018-09-02,45.0,79.0,17.0
2018-09-09,43.0,75.0,23.0
2018-09-16,42.0,61.0,15.0
2018-09-23,34.0,63.0,16.0
2018-09-30,21.0,75.0,17.0
2018-10-07,23.0,45.0,25.0
2018-10-14,32.0,49.0,41.0
2018-10-21,38.0,54.0,20.0
2018-10-28,19.0,44.0,33.0
2018-11-04,34.0,52.0,46.0
2018-11-11,40.0,58.0,52.0
2018-11-18,31.0,43.0,41.0
2018-11-25,39.0,45.0,29.0
2018-12-02,43.0,52.0,34.0
2018-12-09,43.0,61.0,35.0
2018-12-16,48.0,40.0,29.0
2018-12-23,61.0,31.0,35.0
2018-12-30,38.0,64.0,22.0
2019-01-06,40.0,92.0,29.0
2019-01-13,46.0,79.0,22.0
2019-01-20,41.0,66.0,34.0
2019-01-27,45.0,66.0,37.0
2019-02-03,37.0,63.0,36.0
2019-02-10,31.0,70.0,40.0
2019-02-17,31.0,62.0,33.0
2019-02-24,26.0,57.0,37.0
2019-03-03,32.0,44.0,41.0
2019-03-10,26.0,71.0,44.0
2019-03-17,45.0,55.0,41.0
2019-03-24,43.0,32.0,52.0
2019-03-31,37.0,45.0,73.0
2019-04-07,41.0,38.0,66.0
2019-04-14,42.0,33.0,39.0
2019-04-21,19.0,26.0,30.0
2019-04-28,0.0,30.0,37.0
2019-05-05,18.0,51.0,48.0
2019-05-12,33.0,45.0,41.0
2019-05-19,37.0,55.0,44.0
2019-05-26,50.0,71.0,40.0
2019-06-02,35.0,59.0,31.0
2019-06-09,35.0,60.0,36.0
2019-06-16,41.0,77.0,36.0
2019-06-23,41.0,61.0,39.0
2019-06-30,28.0,78.0,47.0
2019-07-07,33.0,70.0,38.0
2019-07-14,48.0,64.0,41.0
2019-07-21,25.0,64.0,38.0
2019-07-28,57.0,49.0,47.0
2019-08-04,47.0,56.0,50.0
2019-08-11,59.0,50.0,51.0
2019-08-18,44.0,61.0,47.0
2019-08-25,46.0,76.0,62.0
2019-09-01,37.0,90.0,46.0
2019-09-08,56.0,92.0,53.0
2019-09-15,31.0,75.0,55.0
2019-09-22,21.0,64.0,53.0
2019-09-29,35.0,73.0,53.0
2019-10-06,35.0,60.0,52.0
2019-10-13,45.0,68.0,60.0
2019-10-20,39.0,53.0,60.0
2019-10-27,30.0,62.0,61.0
2019-11-03,52.0,58.0,74.0
2019-11-10,42.0,44.0,100.0
2019-11-17,50.0,49.0,76.0
2019-11-24,34.0,75.0,93.0
2019-12-01,36.0,72.0,87.0
2019-12-08,43.0,74.0,87.0
2019-12-15,55.0,77.0,95.0
2019-12-22,69.0,45.0,74.0
2019-12-29,38.0,90.0,54.0
2020-01-05,,,58.0
2020-01-12,,,76.0
2020-01-19,,,60.0
2020-01-26,,,78.0
2020-02-02,,,82.0
2020-02-09,,,64.0
2020-02-16,,,78.0
2020-02-23,,,62.0
2020-03-01,16.59880239520958,24.33644859813084,56.0
2020-03-08,,,72.0
2020-03-15,,,64.0
2020-03-22,,,50.0
2020-03-29,,,64.0
2020-04-05,,,46.0
2020-04-12,,,44.0
2020-04-19,,,68.0
2020-04-26,,,58.0
2020-05-03,,,62.0
2020-05-10,,,72.0
2020-05-17,,,78.0
2020-05-24,,,82.0
2020-05-31,,,92.0
2020-06-07,,,122.0
2020-06-14,,,90.0
2020-06-21,,,96.0
2020-06-28,,,116.0
2020-07-05,,,120.0
2020-07-12,,,110.0
2020-07-19,,,112.0
2020-07-26,,,106.0
2020-08-02,,,112.0
2020-08-09,,,112.0
2020-08-16,,,94.0
2020-08-23,,,106.0
2020-08-30,,,114.0
2020-09-06,,,102.0
2020-09-13,,,110.0
2020-09-20,,,116.0
2020-09-27,,,108.0
2020-10-04,,,118.0
2020-10-11,,,136.0
2020-10-18,,,98.0
2020-10-25,,,106.0
2020-11-01,5.532934131736528,39.401869158878505,126.0
2020-11-08,,,196.0
2020-11-15,,,146.0
2020-11-22,,,160.0
2020-11-29,,,136.0
2020-12-06,,,154.0
2020-12-13,,,156.0
2020-12-20,,,164.0
2020-12-27,,,144.0
2021-01-03,,,146.0
2021-01-10,,,142.0
2021-01-17,,,140.0
2021-01-24,,,144.0
2021-01-31,,,150.0
2021-02-07,,,160.0
2021-02-14,,,136.0
2021-02-21,,,134.0
2021-02-28,,,134.0
2021-03-07,,,120.0
2021-03-14,,,140.0
2021-03-21,,,140.0
2021-03-28,,,154.0
2021-04-04,,,150.0
2021-04-11,,,122.0
2021-04-18,,,124.0
2021-04-25,,,134.0
2021-05-02,,,146.0
2021-05-09,,,140.0
2021-05-16,,,156.0
2021-05-23,,,148.0
2021-05-30,,,164.0
2021-06-06,,,192.0
2021-06-13,,,188.0
2021-06-20,,,168.0
2021-06-27,,,170.0
2021-07-04,,,182.0
2021-07-11,,,156.0
2021-07-18,,,156.0
2021-07-25,,,176.0
2021-08-01,4.149700598802395,41.719626168224295,160.0
2021-08-08,,,178.0
2021-08-15,,,186.0
2021-08-22,,,164.0
2021-08-29,,,172.0
2021-09-05,,,182.0
2021-09-12,,,200.0
2021-09-19,,,190.0
2021-09-26,,,170.0
2021-10-03,,,178.0
2021-10-10,,,166.0
2021-10-17,,,136.0
2021-10-24,,,150.0
2021-10-31,,,146.0
2021-11-07,,,172.0
2021-11-14,,,168.0
2021-11-21,,,134.0
2021-11-28,,,136.0
2021-12-05,,,162.0
2021-12-12,,,168.0
2021-12-19,,,134.0
2021-12-26,,,134.0
2022-01-02,,,158.0
2022-01-09,,,148.0
2022-01-16,,,138.0
2022-01-23,,,152.0
2022-01-30,,,162.0
2022-02-06,,,166.0
2022-02-13,,,154.0
2022-02-20,,,170.0
2022-02-27,,,170.0
2022-03-06,,,148.0
2022-03-13,,,152.0
2022-03-20,,,156.0
2022-03-27,,,168.0
2022-04-03,,,160.0
2022-04-10,,,158.0
2022-04-17,,,170.0
2022-04-24,,,164.0
2022-05-01,15.21556886227545,79.9626168224299,154.0
2022-05-08,,,148.0
2022-05-15,,,144.0
2022-05-22,,,162.0
2022-05-29,,,176.0
2022-06-05,,,142.0
2022-06-12,,,144.0
2022-06-19,,,164.0
2022-06-26,,,158.0
2022-07-03,,,150.0
2022-07-10,,,142.0
2022-07-17,,,140.0
2022-07-24,,,144.0
2022-07-31,,,152.0
2022-08-07,,,156.0
2022-08-14,,,142.0
2022-08-21,,,140.0
2022-08-28,,,144.0
2022-09-04,,,134.0
2022-09-11,,,136.0
2022-09-18,,,144.0
2022-09-25,,,152.0
2022-10-02,,,140.0
2022-10-09,,,156.0
2022-10-16,,,132.0
2022-10-23,,,128.0
2022-10-30,,,152.0
2022-11-06,,,186.0
2022-11-13,,,162.0
2022-11-20,,,134.0
2022-11-27,,,128.0
2022-12-04,,,142.0
2022-12-11,,,146.0
2022-12-18,,,152.0
2022-12-25,,,148.0
2023-01-01,20.74850299401198,77.64485981308411,134.0
2023-01-08,,,132.0
2023-01-15,,,132.0
2023-01-22,,,142.0
2023-01-29,,,140.0
2023-02-05,,,146.0
2023-02-12,,,162.0
2023-02-19,,,138.0
2023-02-26,,,120.0
2023-03-05,,,130.0
2023-03-12,,,128.0
2023-03-19,,,152.0
2023-03-26,,,130.0
2023-04-02,,,158.0
2023-04-09,,,132.0
2023-04-16,,,134.0
2023-04-23,,,120.0
2023-04-30,,,132.0
2023-05-07,,,116.0
2023-05-14,,,138.0
2023-05-21,,,126.0
2023-05-28,,,120.0
2023-06-04,,,140.0
2023-06-11,,,120.0
2023-06-18,,,124.0
2023-06-25,,,120.0
2023-07-02,,,128.0
2023-07-09,,,116.0
2023-07-16,,,128.0
2023-07-23,,,132.0
2023-07-30,,,136.0
2023-08-06,,,136.0
2023-08-13,,,146.0
2023-08-20,,,132.0
2023-08-27,,,146.0
2023-09-03,,,128.0
2023-09-10,,,116.0
2023-09-17,,,128.0
2023-09-24,,,138.0
2023-10-01,17.059880239520957,57.943925233644855,124.0
2023-10-08,,,116.0
2023-10-15,,,112.0
2023-10-22,,,124.0
2023-10-29,,,120.0
2023-11-05,,,146.0
2023-11-12,,,144.0
2023-11-19,,,130.0
2023-11-26,,,136.0
2023-12-03,,,138.0
2023-12-10,,,156.0
2023-12-17,,,140.0
2023-12-24,,,142.0
2023-12-31,,,126.0
2024-01-07,32.248326875660446,,122.34146341463416
2024-01-14,15.93882822590114,,120.73170731707316
2024-01-21,27.058940941646124,,133.609756097561
2024-01-28,14.08547610661031,,128.78048780487805
2024-02-04,23.722907126922628,,106.2439024390244
2024-02-11,20.016202888340967,,115.90243902439023
2024-02-18,18.533521192908303,,109.46341463414636
2024-02-25,15.93882822590114,,109.46341463414636
2024-03-03,19.6455324644828,,111.07317073170732
2024-03-10,13.344135258893978,,106.2439024390244
2024-03-17,16.309498649759306,,111.07317073170732
2024-03-24,19.6455324644828,,127.17073170731707
2024-03-31,17.792180345191973,,125.5609756097561
2024-04-07,23.722907126922628,,112.6829268292683
2024-04-14,18.904191616766468,,109.46341463414636
2024-04-21,16.680169073617474,,112.6829268292683
2024-04-28,14.826816954326642,,115.90243902439023
2024-05-05,18.533521192908303,,111.07317073170732
2024-05-12,23.722907126922628,,112.6829268292683
2024-05-19,17.421509921333804,,96.58536585365854
2024-05-26,15.197487378184809,,107.85365853658536
2024-06-02,9.637431020312318,,119.1219512195122
2024-06-09,8.52541974873782,,98.19512195121952
2024-06-16,24.093577550780797,,103.02439024390245
2024-06-23,18.904191616766468,,99.8048780487805
2024-06-30,19.27486204062464,,112.6829268292683
2024-07-07,18.533521192908303,,103.02439024390245
2024-07-14,23.722907126922628,,94.97560975609755
2024-07-21,21.49888458377363,,99.8048780487805
2024-07-28,21.8695550076318,,96.58536585365854
2024-08-04,31.87765645180228,,123.95121951219512
2024-08-11,24.834918398497127,,128.78048780487805
2024-08-18,26.68827051778796,,130.39024390243904
2024-08-25,25.946929670071626,,103.02439024390245
2024-09-01,22.98156627920629,,107.85365853658536
2024-09-08,24.093577550780797,,109.46341463414636
2024-09-15,23.722907126922628,,101.41463414634148
2024-09-22,10.37877186802865,,94.97560975609755
2024-09-29,13.714805682752145,,101.41463414634148
2024-10-06,16.680169073617474,,103.02439024390245
2024-10-13,21.128214159915466,,112.6829268292683
2024-10-20,15.197487378184809,,106.2439024390244
2024-10-27,17.792180345191973,,114.29268292682929
2024-11-03,17.792180345191973,,115.90243902439023
2024-11-10,21.49888458377363,,133.609756097561
2024-11-17,15.197487378184809,,109.46341463414636
2024-11-24,17.792180345191973,,112.6829268292683
2024-12-01,25.576259246213457,,117.51219512195122
2024-12-08,23.722907126922628,,133.609756097561
2024-12-15,21.128214159915466,,138.4390243902439
2024-12-22,28.541622637078788,,103.02439024390245
2024-12-29,19.27486204062464,,101.41463414634148
2025-01-05,26.68827051778796,,96.58536585365854
2025-01-12,21.8695550076318,,112.6829268292683
2025-01-19,15.197487378184809,,101.41463414634148
2025-01-26,16.680169073617474,,77.26829268292684
2025-02-02,14.826816954326642,,91.75609756097562
2025-02-09,20.38687331219913,,91.75609756097562
2025-02-16,17.792180345191973,,85.31707317073172
2025-02-23,11.120112715744982,,77.26829268292684
2025-03-02,21.49888458377363,,83.70731707317074
2025-03-09,13.714805682752145,,70.82926829268293
2025-03-16,20.016202888340967,,72.4390243902439
2025-03-23,12.973464835035813,,75.65853658536585
2025-03-30,16.680169073617474,,75.65853658536585
2025-04-06,28.17095221322062,,85.31707317073172
2025-04-13,27.42961136550429,,88.53658536585367
2025-04-20,22.61089585534813,,80.48780487804879
2025-04-27,15.568157802042975,,69.21951219512195
2025-05-04,18.162850769050134,,75.65853658536585
2025-05-11,17.05083949747564,,64.39024390243902
2025-05-18,12.973464835035813,,66.0
2025-05-25,10.008101444170483,,67.60975609756098
2025-06-01,14.826816954326642,,77.26829268292684
2025-06-08,17.05083949747564,,66.0
2025-06-15,13.714805682752145,,66.0
2025-06-22,18.162850769050134,,70.82926829268293
2025-06-29,13.714805682752145,,61.170731707317074
2025-07-06,21.8695550076318,,74.04878048780488
2025-07-13,15.197487378184809,,69.21951219512195
2025-07-20,24.093577550780797,,67.60975609756098
2025-07-27,20.7575437360573,,61.170731707317074
2025-08-03,20.38687331219913,,62.78048780487805
2025-08-10,22.61089585534813,,67.60975609756098
2025-08-17,17.792180345191973,,72.4390243902439
2025-08-24,20.7575437360573,,67.60975609756098
2025-08-31,17.05083949747564,,59.5609756097561
2025-09-07,26.31760009392979,,53.1219512195122
2025-09-14,16.680169073617474,,56.34146341463415
2025-09-21,14.826816954326642,,64.39024390243902
2025-09-28,26.31760009392979,,54.73170731707317
2025-10-05,19.6455324644828,,59.5609756097561
2025-10-12,19.6455324644828,,59.5609756097561
2025-10-19,20.38687331219913,,66.0
2025-10-26,19.27486204062464,,67.60975609756098
2025-11-02,16.309498649759306,,75.65853658536585
2025-11-09,21.8695550076318,,90.14634146341464
2025-11-16,27.80028178936245,,64.39024390243902
2025-11-23,15.93882822590114,,62.78048780487805
2025-11-30,17.792180345191973,,66.0
2025-12-07,15.568157802042975,,74.04878048780488
2025-12-14,,,
